
[ [ [
4] 4] 4]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
59279 59279 59279
0.000 9.01 2.8
0.500 8.89 0
1.000 9.01 0
1.500 9.03 0
2.000 8.91 0
2.500 9.13 0
3.000 8.89 0
3.500 9.06 0
4.000 9.01 0
4.500 9.03 0
5.000 9.01 0
5.500 8.96 0
6.000 9.08 0
6.500 8.96 0
7.000 9.06 0
7.500 4.85 0.48
8.000 .02 0
8.500 .49 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 0 0
11.000 5.41 49
11.500 9.08 0
12.000 8.82 0
12.500 9.20 0
13.000 8.94 0
13.500 9.10 0
14.000 8.91 0
14.500 9.10 0
15.000 8.73 0
0.000 7.09
