
[ [ [
3] 3] 3]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
56439 56439 56439
0.000 9.03 2.3
0.500 8.84 0
1.000 9.10 0
1.500 8.49 0
2.000 8.82 0
2.500 9.06 0
3.000 8.98 0
3.500 9.01 0
4.000 9.03 0
4.500 8.98 0
5.000 9.03 0
5.500 8.98 0
6.000 9.01 0
6.500 9.22 0
7.000 8.14 0
7.500 1.55 0
8.000 0 0
8.500 0 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 0 0
11.000 0 0
11.500 0 0
12.000 8.89 60
12.500 9.01 0
13.000 8.91 0
13.500 8.89 0
14.000 9.15 0
14.500 8.89 0
15.000 9.08 0
0.000 6.46
