
[ [ [
3] 3] 3]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
62799 62799 62799
0.000 9.01 0
0.500 9.01 0
1.000 9.08 0
1.500 9.08 0
2.000 8.73 0
2.500 9.08 0
3.000 9.08 0
3.500 8.91 0
4.000 9.08 0
4.500 8.98 0
5.000 9.10 0
5.500 8.94 0
6.000 8.87 0
6.500 8.58 0
7.000 6.70 0
7.500 3.86 0
8.000 .44 34
8.500 0 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 5.86 47
11.000 9.01 0
11.500 9.03 0
12.000 8.98 0
12.500 9.01 0
13.000 9.13 0
13.500 8.94 0
14.000 9.08 0
14.500 8.91 0
15.000 9.13 0
0.000 7.26
