
------------------------------------------------------------ ------------------------------------------------------------ ------------------------------------------------------------
[ [ [
3] 3] 3]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
62481 62481 62481
[ [ [
ID] ID] ID]
Interval Interval Interval
Transfer Transfer Transfer
Bandwidth Bandwidth Bandwidth
Jitter Jitter Jitter
Lost/Total Lost/Total Lost/Total
Datagrams Datagrams Datagrams
Latency Latency Latency
avg/min/max/stdev avg/min/max/stdev avg/min/max/stdev
PPS PPS PPS
0.000 8.73 3.4
0.500 9.36 0
1.000 8.87 0
1.500 8.82 0
2.000 9.08 0
2.500 9.24 0
3.000 8.73 0
3.500 9.01 0
4.000 9.01 0
4.500 9.06 0
5.000 9.01 0
5.500 9.01 0
6.000 9.01 0
6.500 9.01 0
7.000 9.03 0
7.500 .51 12
8.000 0 0
8.500 0 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 .02 99
11.000 7.03 6.6
11.500 9.01 0
12.000 8.89 0
12.500 9.13 0
13.000 9.01 0
13.500 9.01 0
14.000 9.01 0
14.500 9.01 0
15.000 9.01 0
0.000 6.98
