
[ [ [
3] 3] 3]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
60655 60655 60655
[ [ [
ID] ID] ID]
Interval Interval Interval
Transfer Transfer Transfer
Bandwidth Bandwidth Bandwidth
Jitter Jitter Jitter
Lost/Total Lost/Total Lost/Total
Datagrams Datagrams Datagrams
Latency Latency Latency
avg/min/max/stdev avg/min/max/stdev avg/min/max/stdev
PPS PPS PPS
0.000 8.96 0.78
0.500 9.03 0
1.000 8.58 0
1.500 9.01 0
2.000 9.01 0
2.500 9.01 0
3.000 8.91 0
3.500 9.01 0
4.000 8.66 0
4.500 9.22 0
5.000 9.01 0
5.500 9.01 0
6.000 8.98 0
6.500 7.74 0
7.000 8.56 0
7.500 7.29 0
8.000 0 0
8.500 0 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 0 0
11.000 0 0
11.500 0 0
12.000 0 0
12.500 1.18 97
13.000 9.01 0
13.500 8.98 0
14.000 9.03 0
14.500 8.91 0
0.000 5.90
